ID,Prob1
0, 0.22053
1, 0.43054
2, 0.18353
3, 0.20631
4, 0.27213
5, 0.17139
6, 0.37301
7, 0.26243
8, 0.25212
9, 0.29127
10, 0.42225
11, 0.21404
12, 0.28882
13, 0.72440
14, 0.19496
15, 0.52326
16, 0.23138
17, 0.57560
18, 0.25209
19, 0.17819
20, 0.27157
21, 0.32954
22, 0.23944
23, 0.24140
24, 0.17470
25, 0.51616
26, 0.24882
27, 0.17435
28, 0.23559
29, 0.29705
30, 0.24709
31, 0.17427
32, 0.23146
33, 0.32194
34, 0.41870
35, 0.36985
36, 0.21369
37, 0.23154
38, 0.55201
39, 0.21907
40, 0.22817
41, 0.45575
42, 0.21668
43, 0.43773
44, 0.31271
45, 0.23213
46, 0.54663
47, 0.25315
48, 0.28650
49, 0.38727
50, 0.31847
51, 0.38499
52, 0.51579
53, 0.12751
54, 0.23834
55, 0.24754
56, 0.27199
57, 0.21940
58, 0.61447
59, 0.29984
60, 0.22282
61, 0.20764
62, 0.49296
63, 0.38957
64, 0.28347
65, 0.33800
66, 0.23152
67, 0.38847
68, 0.22601
69, 0.52721
70, 0.41528
71, 0.25811
72, 0.21023
73, 0.34423
74, 0.72236
75, 0.53708
76, 0.25327
77, 0.42406
78, 0.39738
79, 0.33688
80, 0.54692
81, 0.22098
82, 0.29443
83, 0.41116
84, 0.29421
85, 0.31870
86, 0.41507
87, 0.50573
88, 0.27242
89, 0.33904
90, 0.32311
91, 0.19253
92, 0.22684
93, 0.56264
94, 0.15773
95, 0.32091
96, 0.38287
97, 0.28939
98, 0.32983
99, 0.39327
100, 0.55700
101, 0.32476
102, 0.27582
103, 0.39811
104, 0.36159
105, 0.48213
106, 0.21304
107, 0.60964
108, 0.37221
109, 0.28152
110, 0.19789
111, 0.36807
112, 0.76556
113, 0.27597
114, 0.46528
115, 0.22347
116, 0.29206
117, 0.68295
118, 0.37844
119, 0.26321
120, 0.49312
121, 0.36940
122, 0.19145
123, 0.32038
124, 0.17335
125, 0.43128
126, 0.43635
127, 0.64010
128, 0.43650
129, 0.59202
130, 0.05378
131, 0.31819
132, 0.27210
133, 0.39459
134, 0.41197
135, 0.21492
136, 0.31654
137, 0.60341
138, 0.26601
139, 0.38499
140, 0.29255
141, 0.25041
142, 0.35429
143, 0.24938
144, 0.38801
145, 0.23059
146, 0.23985
147, 0.31791
148, 0.20233
149, 0.24611
150, 0.20076
151, 0.69574
152, 0.25984
153, 0.42727
154, 0.35775
155, 0.32707
156, 0.29082
157, 0.26027
158, 0.24265
159, 0.31616
160, 0.72055
161, 0.28725
162, 0.21514
163, 0.29571
164, 0.51014
165, 0.20269
166, 0.32050
167, 0.24138
168, 0.26116
169, 0.39255
170, 0.40012
171, 0.46384
172, 0.45645
173, 0.27417
174, 0.18127
175, 0.13702
176, 0.65217
177, 0.22608
178, 0.42191
179, 0.22915
180, 0.51044
181, 0.20284
182, 0.34983
183, 0.33648
184, 0.20860
185, 0.37959
186, 0.25836
187, 0.31967
188, 0.23007
189, 0.21473
190, 0.32308
191, 0.49214
192, 0.18749
193, 0.41358
194, 0.40119
195, 0.29783
196, 0.33706
197, 0.41698
198, 0.49080
199, 0.53850
200, 0.28373
201, 0.35808
202, 0.19779
203, 0.41724
204, 0.26846
205, 0.21407
206, 0.23187
207, 0.23843
208, 0.26225
209, 0.21648
210, 0.25405
211, 0.20552
212, 0.65374
213, 0.44260
214, 0.23691
215, 0.23905
216, 0.53179
217, 0.45150
218, 0.66133
219, 0.37649
220, 0.34292
221, 0.25497
222, 0.66195
223, 0.52110
224, 0.42199
225, 0.30202
226, 0.58464
227, 0.29356
228, 0.39053
229, 0.36980
230, 0.32211
231, 0.61645
232, 0.18239
233, 0.20284
234, 0.26955
235, 0.28711
236, 0.21552
237, 0.20227
238, 0.29571
239, 0.30250
240, 0.48676
241, 0.20778
242, 0.32639
243, 0.28938
244, 0.25839
245, 0.40299
246, 0.39084
247, 0.27755
248, 0.40623
249, 0.19432
250, 0.30043
251, 0.51668
252, 0.30112
253, 0.25044
254, 0.34667
255, 0.62777
256, 0.70034
257, 0.45263
258, 0.43833
259, 0.72590
260, 0.22409
261, 0.22325
262, 0.31126
263, 0.29735
264, 0.42065
265, 0.35707
266, 0.24134
267, 0.19771
268, 0.36518
269, 0.11315
270, 0.22251
271, 0.37567
272, 0.41253
273, 0.30585
274, 0.64706
275, 0.28471
276, 0.19042
277, 0.29031
278, 0.40839
279, 0.24489
280, 0.20724
281, 0.33182
282, 0.32415
283, 0.27460
284, 0.41233
285, 0.34042
286, 0.27024
287, 0.18102
288, 0.14149
289, 0.31735
290, 0.36625
291, 0.27372
292, 0.19151
293, 0.20792
294, 0.29494
295, 0.23081
296, 0.37510
297, 0.38328
298, 0.72526
299, 0.18375
300, 0.27014
301, 0.18634
302, 0.57266
303, 0.29884
304, 0.23197
305, 0.18241
306, 0.20648
307, 0.20338
308, 0.29025
309, 0.21610
310, 0.37751
311, 0.23962
312, 0.24396
313, 0.31529
314, 0.49196
315, 0.37566
316, 0.24766
317, 0.19623
318, 0.28092
319, 0.17881
320, 0.37468
321, 0.21239
322, 0.27452
323, 0.20561
324, 0.29610
325, 0.24277
326, 0.26304
327, 0.27599
328, 0.65861
329, 0.73251
330, 0.43104
331, 0.17402
332, 0.41158
333, 0.26552
334, 0.25574
335, 0.31590
336, 0.34168
337, 0.38970
338, 0.45042
339, 0.19750
340, 0.40645
341, 0.35460
342, 0.27464
343, 0.18153
344, 0.40892
345, 0.24487
346, 0.22851
347, 0.23217
348, 0.22217
349, 0.25428
350, 0.22395
351, 0.27195
352, 0.29805
353, 0.19740
354, 0.31059
355, 0.24284
356, 0.65061
357, 0.40193
358, 0.21075
359, 0.34941
360, 0.44160
361, 0.34331
362, 0.22239
363, 0.37935
364, 0.35329
365, 0.68228
366, 0.62670
367, 0.26067
368, 0.29925
369, 0.36698
370, 0.17037
371, 0.31218
372, 0.45328
373, 0.26561
374, 0.37229
375, 0.54049
376, 0.54474
377, 0.29090
378, 0.26651
379, 0.40154
380, 0.63831
381, 0.18599
382, 0.24016
383, 0.25717
384, 0.43952
385, 0.17758
386, 0.35592
387, 0.36118
388, 0.21429
389, 0.52774
390, 0.16662
391, 0.19963
392, 0.28233
393, 0.77373
394, 0.40202
395, 0.23722
396, 0.27383
397, 0.36040
398, 0.29146
399, 0.21623
400, 0.22843
401, 0.28887
402, 0.56374
403, 0.23407
404, 0.31707
405, 0.30909
406, 0.26536
407, 0.20523
408, 0.21340
409, 0.41665
